StartDate,open
2020-10-17,126.37
2020-10-18,126.37
2020-10-19,127.94
2020-10-20,121.0
2020-10-21,120.95
2020-10-22,116.95
2020-10-23,115.4
2020-10-24,115.4
2020-10-25,115.4
2020-10-26,109.6
2020-10-27,112.19
2020-10-28,113.48
2020-10-29,113.33
2020-10-30,123.0
2020-10-31,123.0
2020-11-01,123.0
2020-11-02,123.0
2020-11-03,117.67
2020-11-04,114.29
2020-11-05,113.0
2020-11-06,112.32
2020-11-07,112.32
2020-11-08,112.32
2020-11-09,109.32
2020-11-10,114.09
2020-11-11,113.36
2020-11-12,111.41
2020-11-13,111.02
2020-11-14,111.02
2020-11-15,111.02
2020-11-16,111.0
2020-11-17,109.48
2020-11-18,106.04
2020-11-19,104.95
2020-11-20,112.31
2020-11-21,112.31
2020-11-22,112.31
2020-11-23,110.13
2020-11-24,109.0
2020-11-25,107.66
2020-11-26,104.32
2020-11-27,101.45
2020-11-28,101.45
2020-11-29,101.45
2020-11-30,101.26
2020-12-01,98.34
2020-12-02,104.47
2020-12-03,101.56
2020-12-04,100.45
2020-12-05,100.45
2020-12-06,100.45
2020-12-07,103.04
2020-12-08,104.81
2020-12-09,103.92
2020-12-10,99.79
2020-12-11,102.79
2020-12-12,102.79
2020-12-13,102.79
2020-12-14,101.0
2020-12-15,100.24
2020-12-16,100.35
2020-12-17,99.5
2020-12-18,100.56
2020-12-19,100.56
2020-12-20,100.56
2020-12-21,100.0
2020-12-22,101.3
2020-12-23,104.13
2020-12-24,104.15
2020-12-25,101.75
2020-12-26,101.75
2020-12-27,101.75
2020-12-28,103.19
2020-12-29,101.49
2020-12-30,104.73
2020-12-31,102.3
2021-01-01,102.3
2021-01-02,102.3
2021-01-03,102.3
2021-01-04,104.0
2021-01-05,100.08
2021-01-06,101.63
2021-01-07,99.45
2021-01-08,96.63
2021-01-09,96.63
2021-01-10,96.63
2021-01-11,93.21
2021-01-12,86.67
2021-01-13,102.36
2021-01-14,106.0
2021-01-15,109.86
2021-01-16,109.86
2021-01-17,109.86
2021-01-18,105.44
2021-01-19,110.21
2021-01-20,108.3
2021-01-21,109.98
2021-01-22,109.0
2021-01-23,109.0
2021-01-24,109.0
2021-01-25,105.88
2021-01-26,104.0
2021-01-27,109.01
2021-01-28,108.28
2021-01-29,107.22
2021-01-30,107.22
2021-01-31,107.22
2021-02-01,111.0
2021-02-02,120.05
